Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Hospitalizations,03/19/2022,5-11,0.0,1.1,,0.0,,,,,,,101993,90402,,0,1,,5,11
Deaths,08/20/2022,80+,11.8,17.2,6.3,0.7,1.9,,,,,,25524,11600,47351,3,2,3,80,200
Cases,02/19/2022,5-11,100.3,147.2,,0.7,,,,,,,105672,76111,,106,112,,5,11
Cases,10/02/2021,18-29,185.9,63.1,,2.9,,,,,,,179690,304071,,334,192,,18,29
Cases,05/15/2021,12-17,120.8,,,,,,,,,,152312,,,184,,,12,17
Deaths,07/24/2021,18-29,0.0,0.0,,,,,,,,,218866,272335,,0,0,,18,29
Cases,09/17/2022,30-49,179.6,62.3,111.7,2.9,1.6,,,,,,118021,277675,350070,212,173,391,30,49
Hospitalizations,06/12/2021,50-64,16.5,0.7,,23.6,,,,,,,114988,282884,,19,2,,50,64
Hospitalizations,09/04/2021,All,17.9,3.7,,4.8,,25.2,2.9,,8.7,,1051674,1469546,,188,55,,999,999
Deaths,04/02/2022,65-79,0.0,1.9,0.0,0.0,,,,,,,46395,51651,160756,0,1,0,65,79
Deaths,11/12/2022,30-49,0.0,0.0,0.0,,,,,,,,109754,274339,359514,0,0,0,30,49
Hospitalizations,08/13/2022,12-17,5.9,1.1,0.0,5.4,,,,,,,33991,89334,41732,2,1,0,12,17
Cases,11/19/2022,12-17,185.5,72.9,78.0,2.5,2.4,,,,,,32353,83643,48689,60,61,38,12,17
Hospitalizations,11/27/2021,65-79,105.9,21.9,6.1,4.8,17.4,,,,,,53807,123356,82328,57,27,5,65,79
Hospitalizations,06/04/2022,65-79,29.0,10.5,16.7,2.8,1.7,,,,,,44849,47529,167189,13,5,28,65,79
Cases,02/19/2022,80+,56.5,85.5,61.5,0.7,0.9,,,,,,26561,15203,42284,15,13,26,80,200
Hospitalizations,11/26/2022,All,13.7,5.2,8.5,2.6,1.6,18.3,9.0,6.1,2.0,3.0,548999,832359,1082905,75,43,92,999,999
Deaths,04/24/2021,50-64,8.4,0.7,,12.0,,,,,,,165830,136225,,14,1,,50,64
Cases,04/09/2022,50-64,112.9,41.2,95.5,2.7,1.2,,,,,,41632,138452,230434,47,57,220,50,64
Hospitalizations,05/28/2022,18-29,10.0,1.9,0.7,5.3,14.3,,,,,,100140,215859,149031,10,4,1,18,29
Cases,07/30/2022,0-4,173.4,0.0,,,,,,,,,162642,,,282,0,,0,4
Cases,02/26/2022,18-29,99.1,38.2,74.1,2.6,1.3,,,,,,106925,220168,133675,106,84,99,18,29
Cases,11/26/2022,80+,145.2,207.6,225.9,0.7,0.6,,,,,,24110,10598,49131,35,22,111,80,200
Hospitalizations,02/26/2022,18-29,3.7,1.8,0.7,2.1,5.3,,,,,,106925,220168,133675,4,4,1,18,29
Cases,11/05/2022,All,168.0,79.0,114.1,2.1,1.5,208.3,80.8,102.7,2.6,2.0,559010,838468,1069066,939,662,1220,999,999
Cases,10/01/2022,0-4,40.6,4.9,,8.3,,,,,,,162642,,,66,8,,0,4
Deaths,01/08/2022,18-29,0.8,0.4,0.0,2.0,,,,,,,133327,254263,81353,1,1,0,18,29
Deaths,11/27/2021,50-64,7.9,0.3,0.0,26.3,,,,,,,63084,286883,63992,5,1,0,50,64
Deaths,09/10/2022,80+,15.7,8.7,2.1,1.8,7.5,,,,,,25463,11435,47575,4,1,1,80,200
Hospitalizations,12/25/2021,5-11,4.9,0.0,,,,,,,,,141745,38122,,7,0,,5,11
Deaths,07/16/2022,18-29,0.0,0.0,0.0,,,,,,,,97928,213563,152974,0,0,0,18,29
Hospitalizations,04/17/2021,12-17,2.3,,,,,,,,,,175046,,,4,,,12,17
Cases,11/27/2021,12-17,288.9,40.5,,7.1,,,,,,,57802,106212,,167,43,,12,17
Hospitalizations,02/19/2022,80+,22.6,65.8,21.3,0.3,1.1,,,,,,26561,15203,42284,6,10,9,80,200
Hospitalizations,06/18/2022,30-49,20.4,4.2,5.0,4.9,4.1,,,,,,122507,283673,341278,25,12,17,30,49
Hospitalizations,05/22/2021,65-79,48.8,4.6,,10.6,,,,,,,77812,172694,,38,8,,65,79
Cases,10/15/2022,18-29,113.0,32.7,73.3,3.5,1.5,,,,,,91139,211205,159510,103,69,117,18,29
Cases,04/09/2022,12-17,126.4,79.0,123.5,1.6,1.0,,,,,,36402,96259,32390,46,76,40,12,17
Deaths,06/11/2022,18-29,0.0,0.0,0.0,,,,,,,,99463,215089,150347,0,0,0,18,29
Hospitalizations,12/11/2021,30-49,48.4,5.9,2.4,8.2,20.2,,,,,,175475,456326,123445,85,27,3,30,49
Deaths,08/28/2021,30-49,0.8,0.2,,4.0,,,,,,,238017,517628,,2,1,,30,49
Deaths,09/03/2022,50-64,0.0,0.8,0.4,0.0,0.0,,,,,,36907,126175,247915,0,1,1,50,64
Cases,11/05/2022,65-79,186.2,131.1,118.2,1.4,1.6,,,,,,39736,41182,176879,74,54,209,65,79
Deaths,06/04/2022,5-11,0.0,0.0,0.0,,,,,,,,98157,96504,919,0,0,0,5,11
Deaths,06/04/2022,50-64,2.5,0.0,0.0,,,,,,,,39464,132300,239302,1,0,0,50,64
Hospitalizations,08/14/2021,18-29,9.7,0.4,,24.2,,,,,,,205635,281969,,20,1,,18,29
Hospitalizations,10/23/2021,80+,20.4,16.5,0.0,1.2,,,,,,,29471,48471,6742,6,8,0,80,200
Cases,05/28/2022,80+,138.9,203.4,243.2,0.7,0.6,,,,,,25910,12782,45635,36,26,111,80,200
Cases,10/15/2022,80+,112.6,251.9,178.3,0.4,0.6,,,,,,24876,11116,48232,28,28,86,80,200
Hospitalizations,05/14/2022,80+,80.6,76.7,50.9,1.1,1.6,,,,,,26055,13043,45223,21,10,23,80,200
Hospitalizations,05/29/2021,50-64,35.8,1.2,,29.8,,,,,,,122792,258431,,44,3,,50,64
Hospitalizations,10/23/2021,All,8.7,2.7,1.4,3.2,6.2,13.4,2.2,1.1,6.1,12.0,970527,1503357,69199,84,41,1,999,999
Cases,08/13/2022,30-49,316.4,131.0,199.5,2.4,1.6,,,,,,120110,279431,347394,380,366,693,30,49
Deaths,04/24/2021,65-79,14.7,0.0,,,,,,,,,88684,142420,,13,0,,65,79
Deaths,11/06/2021,30-49,2.1,0.0,0.0,,,,,,,,194382,532346,32483,4,0,0,30,49
Cases,09/18/2021,12-17,273.6,35.1,,7.8,,,,,,,70184,88270,,192,31,,12,17
Cases,06/19/2021,30-49,29.8,5.3,,5.6,,,,,,,289019,455685,,86,24,,30,49
Deaths,03/19/2022,12-17,0.0,0.0,0.0,,,,,,,,36954,96984,30163,0,0,0,12,17
Cases,05/28/2022,0-4,200.4,,,,,,,,,,162642,,,326,,,0,4
Cases,04/30/2022,12-17,261.5,145.8,176.7,1.8,1.5,,,,,,35947,95359,33962,94,139,60,12,17
Cases,11/05/2022,80+,159.9,211.8,193.0,0.8,0.8,,,,,,24388,10860,48711,39,23,94,80,200
Hospitalizations,08/27/2022,50-64,56.7,11.1,9.7,5.1,5.8,,,,,,37011,126515,247471,21,14,24,50,64
Deaths,06/26/2021,12-17,0.0,0.0,,,,,,,,,110033,40429,,0,0,,12,17
Hospitalizations,08/06/2022,50-64,37.3,12.5,9.8,3.0,3.8,,,,,,37548,127737,245803,14,16,24,50,64
Deaths,07/24/2021,All,0.7,0.0,,,,1.1,0.0,,,,1157866,1391176,,8,0,,999,999
Deaths,08/28/2021,All,2.1,0.3,,7.0,,2.9,0.2,,12.6,,1067961,1457674,,22,4,,999,999
Hospitalizations,07/31/2021,30-49,14.6,1.0,,14.6,,,,,,,261164,502200,,38,5,,30,49
Deaths,01/15/2022,30-49,7.4,0.3,0.0,24.7,,,,,,,148997,349211,242324,11,1,0,30,49
Cases,08/21/2021,65-79,141.6,52.1,,2.7,,,,,,,64960,195884,,92,102,,65,79
Hospitalizations,09/18/2021,18-29,5.4,1.0,,5.4,,,,,,,185721,297976,,10,3,,18,29
Deaths,07/09/2022,65-79,0.0,0.0,1.8,,0.0,,,,,,44277,45866,169645,0,0,3,65,79
Deaths,07/09/2022,80+,7.8,8.3,4.3,0.9,1.8,,,,,,25714,12100,46643,2,1,2,80,200
Hospitalizations,05/28/2022,50-64,25.2,11.3,9.2,2.2,2.7,,,,,,39680,133014,238269,10,15,22,50,64
Hospitalizations,03/05/2022,80+,18.9,20.5,13.9,0.9,1.4,,,,,,26477,14599,43034,5,3,6,80,200
Hospitalizations,10/01/2022,50-64,11.2,1.6,5.2,7.0,2.2,,,,,,35613,125081,249615,4,2,13,50,64
Cases,04/30/2022,All,206.5,144.9,239.0,1.4,0.9,222.6,135.6,206.6,1.6,1.1,639197,895770,957293,1320,1298,2288,999,999
Hospitalizations,10/22/2022,All,12.2,4.4,8.6,2.8,1.4,17.2,6.8,6.0,2.5,2.9,567009,841773,1059880,69,37,91,999,999
Hospitalizations,05/29/2021,80+,49.7,4.1,,12.1,,,,,,,34175,48863,,17,2,,80,200
Cases,07/31/2021,80+,21.9,32.1,,0.7,,,,,,,31931,52939,,7,17,,80,200
Hospitalizations,04/09/2022,5-11,0.0,0.0,,,,,,,,,100799,93761,,0,0,,5,11
Cases,06/18/2022,18-29,256.1,122.9,244.6,2.1,1.0,,,,,,99182,214745,150881,254,264,369,18,29
Deaths,03/19/2022,18-29,0.0,0.0,0.0,,,,,,,,104609,220048,140124,0,0,0,18,29
Deaths,05/21/2022,18-29,0.0,0.0,0.0,,,,,,,,100568,216215,148394,0,0,0,18,29
Cases,08/28/2021,18-29,296.2,89.6,,3.3,,,,,,,197485,287970,,585,258,,18,29
Deaths,02/26/2022,18-29,0.0,0.0,0.0,,,,,,,,106925,220168,133675,0,0,0,18,29
Hospitalizations,04/16/2022,65-79,6.5,5.9,4.9,1.1,1.3,,,,,,46005,50710,162079,3,3,8,65,79
Hospitalizations,10/15/2022,5-11,2.2,0.0,4.8,,0.5,,,,,,91964,82338,20785,2,0,1,5,11
Hospitalizations,11/19/2022,50-64,43.5,4.1,7.0,10.6,6.2,,,,,,32161,121192,255360,14,5,18,50,64
Hospitalizations,10/30/2021,50-64,53.2,1.2,0.0,44.3,,,,,,,69568,325887,18727,37,4,0,50,64
Cases,09/17/2022,0-4,68.2,1.2,,56.8,,,,,,,162642,,,111,2,,0,4
Hospitalizations,07/31/2021,80+,21.9,11.3,,1.9,,,,,,,31931,52939,,7,6,,80,200
Hospitalizations,08/28/2021,18-29,12.2,0.7,,17.4,,,,,,,197485,287970,,24,2,,18,29
Cases,06/18/2022,50-64,454.0,135.7,211.7,3.3,2.1,,,,,,38987,131198,240929,177,178,510,50,64
Cases,03/12/2022,0-4,35.0,,,,,,,,,,162642,,,57,,,0,4
Hospitalizations,01/08/2022,All,110.6,55.1,29.3,2.0,3.8,157.3,64.0,17.3,2.5,9.1,761521,1062814,646101,842,586,189,999,999
Cases,05/07/2022,30-49,313.6,168.7,458.6,1.9,0.7,,,,,,124695,288133,334949,391,486,1536,30,49
Cases,07/09/2022,18-29,279.7,144.5,264.3,1.9,1.1,,,,,,98327,213841,152461,275,309,403,18,29
Hospitalizations,10/01/2022,5-11,0.0,0.0,0.0,,,,,,,,92337,82952,19750,0,0,0,5,11
Cases,02/05/2022,5-11,196.0,321.8,,0.6,,,,,,,110193,64951,,216,209,,5,11
Hospitalizations,09/18/2021,12-17,0.0,0.0,,,,,,,,,70184,88270,,0,0,,12,17
Hospitalizations,03/26/2022,50-64,7.1,4.3,0.9,1.7,7.9,,,,,,42183,140588,227682,3,6,2,50,64
Cases,01/29/2022,All,389.7,234.0,214.4,1.7,1.8,423.6,234.8,182.4,1.8,2.3,696767,958922,784226,2715,2244,1681,999,999
Cases,10/23/2021,65-79,85.8,45.3,7.7,1.9,11.1,,,,,,58287,176545,25809,50,80,2,65,79
Hospitalizations,09/10/2022,5-11,4.3,0.0,11.0,,0.4,,,,,,92985,83665,18157,4,0,2,5,11
Cases,12/18/2021,18-29,1661.9,978.5,1068.7,1.7,1.6,,,,,,147901,285232,45569,2458,2791,487,18,29
Hospitalizations,08/06/2022,0-4,6.1,0.0,,,,,,,,,162642,,,10,0,,0,4
Deaths,06/19/2021,80+,0.0,0.0,,,,,,,,,33248,51015,,0,0,,80,200
Cases,02/05/2022,65-79,157.1,116.9,100.3,1.3,1.6,,,,,,47734,59890,150496,75,70,151,65,79
Deaths,06/11/2022,50-64,0.0,0.0,0.0,,,,,,,,39197,131638,240262,0,0,0,50,64
Deaths,04/09/2022,80+,0.0,14.5,0.0,0.0,,,,,,,26288,13774,44066,0,2,0,80,200
Hospitalizations,09/25/2021,All,14.0,3.3,,4.2,,19.8,2.6,,7.7,,1013278,1505823,,142,49,,999,999
Cases,06/11/2022,30-49,349.4,170.3,339.2,2.1,1.0,,,,,,122799,284167,340517,429,484,1155,30,49
Deaths,08/27/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,10/08/2022,65-79,83.9,131.0,110.7,0.6,0.8,,,,,,41701,42757,174379,35,56,193,65,79
Deaths,08/13/2022,65-79,0.0,4.5,0.0,0.0,,,,,,,43667,44423,171713,0,2,0,65,79
Hospitalizations,06/18/2022,18-29,3.0,4.2,0.7,0.7,4.3,,,,,,99182,214745,150881,3,9,1,18,29
Deaths,09/11/2021,50-64,11.0,0.3,,36.7,,,,,,,82003,328128,,9,1,,50,64
Hospitalizations,10/23/2021,65-79,27.5,8.5,0.0,3.2,,,,,,,58287,176545,25809,16,15,0,65,79
Deaths,10/09/2021,80+,16.8,3.8,,4.4,,,,,,,29846,52839,,5,2,,80,200
Deaths,08/06/2022,18-29,0.0,0.0,0.0,,,,,,,,96950,212367,154863,0,0,0,18,29
Cases,03/19/2022,5-11,34.3,74.1,,0.5,,,,,,,101993,90402,,35,67,,5,11
Cases,09/10/2022,30-49,211.3,79.9,133.5,2.6,1.6,,,,,,118807,277813,349756,251,222,467,30,49
Cases,05/28/2022,5-11,328.2,413.9,721.2,0.8,0.5,,,,,,98425,96640,416,323,400,3,5,11
Deaths,08/14/2021,50-64,9.8,0.0,,,,,,,,,91439,320693,,9,0,,50,64
Deaths,07/09/2022,50-64,0.0,0.0,0.4,,0.0,,,,,,38426,129766,242943,0,0,1,50,64
Cases,05/22/2021,30-49,148.2,7.8,,19.0,,,,,,,319176,371716,,473,29,,30,49
Cases,09/11/2021,65-79,133.8,49.0,,2.7,,,,,,,62796,195832,,84,96,,65,79
Deaths,02/05/2022,All,7.3,4.4,1.7,1.7,4.3,10.6,6.4,0.9,1.7,11.5,684723,933029,822898,50,41,14,999,999
Deaths,03/05/2022,30-49,0.0,0.0,0.0,,,,,,,,129674,297227,317590,0,0,0,30,49
Cases,08/06/2022,50-64,519.3,171.4,242.1,3.0,2.1,,,,,,37548,127737,245803,195,219,595,50,64
Cases,01/29/2022,50-64,589.6,175.5,174.8,3.4,3.4,,,,,,46473,165829,195065,274,291,341,50,64
Hospitalizations,07/03/2021,30-49,4.7,0.2,,23.5,,,,,,,279320,479094,,13,1,,30,49
Cases,01/15/2022,0-4,873.1,,,,,,,,,,162642,,,1420,,,0,4
Hospitalizations,04/17/2021,65-79,59.3,8.7,,6.8,,,,,,,92767,126147,,55,11,,65,79
Hospitalizations,04/30/2022,30-49,6.4,2.1,0.9,3.0,7.1,,,,,,125080,288795,333918,8,6,3,30,49
Cases,07/16/2022,0-4,152.5,,,,,,,,,,162642,,,248,,,0,4
Hospitalizations,04/09/2022,30-49,6.3,1.7,2.4,3.7,2.6,,,,,,126336,291399,329899,8,5,8,30,49
Cases,02/19/2022,30-49,113.7,51.2,82.8,2.2,1.4,,,,,,131947,300908,306841,150,154,254,30,49
Hospitalizations,03/05/2022,All,4.4,2.8,1.9,1.6,2.3,5.5,3.3,1.3,1.7,4.2,657102,913325,904798,29,26,17,999,999
Deaths,11/13/2021,65-79,9.0,5.4,1.8,1.7,5.0,,,,,,55405,147078,57134,5,8,1,65,79
Cases,09/03/2022,12-17,359.8,141.3,171.4,2.5,2.1,,,,,,33627,87066,44334,121,123,76,12,17
Deaths,05/28/2022,12-17,0.0,0.0,0.0,,,,,,,,35376,94389,35465,0,0,0,12,17
Hospitalizations,08/20/2022,All,16.8,8.0,9.2,2.1,1.8,20.2,10.6,7.1,1.9,2.8,596842,851137,1027279,100,68,94,999,999
Deaths,09/03/2022,30-49,0.0,0.0,0.3,,0.0,,,,,,119298,278143,349240,0,0,1,30,49
Cases,06/04/2022,12-17,428.0,212.7,344.7,2.0,1.2,,,,,,35284,94008,35978,151,200,124,12,17
Hospitalizations,07/24/2021,12-17,0.0,0.0,,,,,,,,,97432,62024,,0,0,,12,17
Hospitalizations,05/07/2022,80+,26.8,60.5,40.0,0.4,0.7,,,,,,26109,13232,44963,7,8,18,80,200
Cases,07/16/2022,30-49,388.3,166.9,290.2,2.3,1.3,,,,,,121296,281647,344272,471,470,999,30,49
Cases,10/08/2022,80+,104.0,133.5,172.9,0.8,0.6,,,,,,24997,11234,47995,26,15,83,80,200
Cases,08/27/2022,80+,129.4,233.7,248.9,0.6,0.5,,,,,,25504,11553,47416,33,27,118,80,200
Deaths,08/13/2022,50-64,2.7,0.8,0.0,3.4,,,,,,,37356,127262,246453,1,1,0,50,64
Cases,01/22/2022,80+,479.8,535.4,343.7,0.9,1.4,,,,,,26887,17556,39574,129,94,136,80,200
Hospitalizations,04/24/2021,50-64,57.9,0.0,,,,,,,,,165830,136225,,96,0,,50,64
Cases,06/18/2022,5-11,64.6,113.0,117.5,0.6,0.5,,,,,,97544,93772,4254,63,106,5,5,11
Cases,10/02/2021,80+,69.9,41.2,,1.7,,,,,,,30037,53338,,21,22,,80,200
Deaths,09/11/2021,30-49,0.4,0.0,,,,,,,,,227195,526013,,1,0,,30,49
Hospitalizations,09/11/2021,12-17,6.9,0.0,,,,,,,,,72214,85028,,5,0,,12,17
Cases,06/19/2021,50-64,27.8,3.8,,7.3,,,,,,,111678,289939,,31,11,,50,64
Deaths,01/01/2022,12-17,0.0,0.0,0.0,,,,,,,,51896,109775,1915,0,0,0,12,17
Hospitalizations,12/25/2021,50-64,258.7,45.8,13.8,5.6,18.7,,,,,,55666,224853,130811,144,103,18,50,64
Cases,11/20/2021,18-29,282.8,104.6,58.0,2.7,4.9,,,,,,161575,305113,18970,457,319,11,18,29
Hospitalizations,07/16/2022,5-11,1.0,0.0,0.0,,,,,,,,96271,90096,9113,1,0,0,5,11
Deaths,06/26/2021,30-49,0.4,0.0,,,,,,,,,283832,468937,,1,0,,30,49
Cases,01/29/2022,5-11,405.5,540.2,,0.8,,,,,,,113202,60530,,459,327,,5,11
Cases,07/30/2022,50-64,550.8,176.1,252.3,3.1,2.2,,,,,,37761,128351,244963,208,226,618,50,64
Hospitalizations,10/16/2021,65-79,33.9,9.2,,3.7,,,,,,,59037,184451,,20,17,,65,79
Deaths,06/18/2022,18-29,0.0,0.0,0.0,,,,,,,,99182,214745,150881,0,0,0,18,29
Cases,04/17/2021,50-64,254.1,21.3,,11.9,,,,,,,183798,103238,,467,22,,50,64
Hospitalizations,06/04/2022,All,14.7,4.5,9.7,3.3,1.5,19.0,6.1,6.8,3.1,2.8,630681,883232,978520,93,40,95,999,999
Cases,09/25/2021,80+,75.9,46.8,,1.6,,,,,,,30308,53437,,23,25,,80,200
Hospitalizations,10/29/2022,18-29,6.7,0.5,2.5,13.4,2.7,,,,,,89119,211145,160759,6,1,4,18,29
Hospitalizations,08/14/2021,50-64,59.1,3.7,,16.0,,,,,,,91439,320693,,54,12,,50,64
Deaths,07/23/2022,5-11,0.0,0.0,0.0,,,,,,,,95851,89490,10004,0,0,0,5,11
Hospitalizations,03/05/2022,12-17,0.0,1.0,0.0,0.0,,,,,,,37541,96947,28018,0,1,0,12,17
Cases,02/26/2022,All,80.2,36.9,50.6,2.2,1.6,93.5,35.2,44.9,2.7,2.1,660880,912736,892458,530,337,452,999,999
Deaths,07/03/2021,All,0.7,0.0,,,,1.0,0.0,,,,1199005,1331487,,8,0,,999,999
Deaths,11/27/2021,18-29,0.6,0.0,0.0,,,,,,,,159242,301794,24189,1,0,0,18,29
Hospitalizations,11/12/2022,80+,82.3,46.5,57.3,1.8,1.4,,,,,,24294,10744,48904,20,5,28,80,200
Cases,04/30/2022,5-11,191.5,313.8,,0.6,,,,,,,99753,95283,,191,299,,5,11
Hospitalizations,04/09/2022,50-64,7.2,5.1,2.2,1.4,3.3,,,,,,41632,138452,230434,3,7,5,50,64
Cases,07/02/2022,65-79,227.6,175.3,187.4,1.3,1.2,,,,,,44375,46217,169182,101,81,317,65,79
Cases,04/30/2022,18-29,290.9,119.6,300.1,2.4,1.0,,,,,,101765,217441,146299,296,260,439,18,29
Hospitalizations,04/24/2021,12-17,2.9,,,,,,,,,,170801,,,5,,,12,17
Cases,11/06/2021,50-64,253.2,59.8,31.4,4.2,8.1,,,,,,67934,320810,25497,172,192,8,50,64
Deaths,07/17/2021,18-29,0.0,0.0,,,,,,,,,222398,268571,,0,0,,18,29
Deaths,08/21/2021,All,1.8,0.3,,6.0,,2.6,0.2,,12.1,,1085151,1444588,,19,4,,999,999
Deaths,07/03/2021,18-29,0.0,0.0,,,,,,,,,228443,258861,,0,0,,18,29
Cases,11/06/2021,30-49,243.8,96.6,24.6,2.5,9.9,,,,,,194382,532346,32483,474,514,8,30,49
Deaths,07/24/2021,65-79,4.4,0.0,,,,,,,,,68551,192768,,3,0,,65,79
Cases,07/09/2022,50-64,478.8,144.1,261.0,3.3,1.8,,,,,,38426,129766,242943,184,187,634,50,64
Deaths,11/12/2022,80+,0.0,18.6,2.0,0.0,0.0,,,,,,24294,10744,48904,0,2,1,80,200
Cases,05/15/2021,All,125.7,12.9,,9.7,,137.4,9.6,,14.3,,1380579,932088,,1735,120,,999,999
Deaths,01/08/2022,80+,140.1,108.2,24.0,1.3,5.8,,,,,,27130,19415,37556,38,21,9,80,200
Hospitalizations,10/08/2022,30-49,9.6,1.4,2.3,6.9,4.2,,,,,,115150,276816,353166,11,4,8,30,49
Cases,12/25/2021,65-79,915.8,705.5,340.5,1.3,2.7,,,,,,50884,87029,121016,466,614,412,65,79
Cases,01/01/2022,65-79,1754.3,1449.7,699.7,1.2,2.5,,,,,,50276,79329,129201,882,1150,904,65,79
Hospitalizations,07/03/2021,50-64,7.5,0.0,,,,,,,,,106367,303161,,8,0,,50,64
Deaths,02/26/2022,80+,18.9,26.9,7.0,0.7,2.7,,,,,,26509,14848,42716,5,4,3,80,200
Hospitalizations,08/21/2021,12-17,5.0,0.0,,,,,,,,,80343,73849,,4,0,,12,17
Hospitalizations,11/06/2021,18-29,8.4,0.6,0.0,14.0,,,,,,,166895,309882,10041,14,2,0,18,29
Hospitalizations,07/09/2022,0-4,6.1,,,,,,,,,,162642,,,10,,,0,4
Deaths,05/21/2022,All,0.2,0.2,0.4,1.0,0.5,0.2,0.3,0.3,0.7,0.8,633874,888713,969682,1,2,4,999,999
Cases,04/30/2022,80+,61.2,164.9,122.9,0.4,0.5,,,,,,26157,13339,44767,16,22,55,80,200
Hospitalizations,07/17/2021,80+,12.3,0.0,,,,,,,,,32408,52503,,4,0,,80,200
Hospitalizations,08/27/2022,80+,62.7,155.8,80.1,0.4,0.8,,,,,,25504,11553,47416,16,18,38,80,200
Cases,04/10/2021,12-17,200.0,,,,,,,,,,177465,,,355,,,12,17
Deaths,11/27/2021,All,2.5,1.0,0.0,2.5,,3.9,1.2,0.0,3.4,,870316,1343040,277171,22,14,0,999,999
Cases,04/30/2022,50-64,245.2,98.7,184.0,2.5,1.3,,,,,,40776,135788,234246,100,134,431,50,64
Cases,10/22/2022,65-79,150.1,124.0,133.2,1.2,1.1,,,,,,40634,41947,175683,61,52,234,65,79
Hospitalizations,09/04/2021,50-64,58.3,4.9,,11.9,,,,,,,83983,326344,,49,16,,50,64
Hospitalizations,09/24/2022,80+,51.4,35.1,46.1,1.5,1.1,,,,,,25279,11384,47681,13,4,22,80,200
Hospitalizations,07/23/2022,80+,66.3,108.7,49.1,0.6,1.4,,,,,,25646,11962,46846,17,13,23,80,200
Hospitalizations,06/05/2021,80+,17.7,4.0,,4.4,,,,,,,33849,49828,,6,2,,80,200
Cases,09/25/2021,All,151.5,58.8,,2.6,,170.0,48.2,,3.5,,1013278,1505823,,1535,886,,999,999
Deaths,06/25/2022,65-79,0.0,2.2,0.0,0.0,,,,,,,44476,46499,168764,0,1,0,65,79
Deaths,06/04/2022,65-79,2.2,0.0,0.0,,,,,,,,44849,47529,167189,1,0,0,65,79
Hospitalizations,06/25/2022,18-29,12.1,4.2,1.3,2.9,9.3,,,,,,98903,214449,151439,12,9,2,18,29
Cases,05/28/2022,12-17,446.6,255.3,341.2,1.7,1.3,,,,,,35376,94389,35465,158,241,121,12,17
Hospitalizations,09/11/2021,18-29,12.7,0.3,,42.3,,,,,,,189414,294590,,24,1,,18,29
Cases,09/24/2022,All,126.8,58.8,99.2,2.2,1.3,159.3,58.1,91.6,2.7,1.7,583652,845339,1042972,740,497,1035,999,999
Deaths,09/24/2022,80+,4.0,17.6,6.3,0.2,0.6,,,,,,25279,11384,47681,1,2,3,80,200
Cases,10/16/2021,All,125.8,50.5,,2.5,,143.9,41.4,,3.5,,979692,1515069,,1232,765,,999,999
Cases,06/12/2021,All,27.1,5.5,,4.9,,29.9,4.0,,7.4,,1249087,1208233,,339,67,,999,999
Hospitalizations,06/19/2021,65-79,5.5,0.5,,11.0,,,,,,,72543,185518,,4,1,,65,79
Cases,09/03/2022,5-11,205.0,202.1,218.8,1.0,0.9,,,,,,93167,84135,17366,191,170,38,5,11
Deaths,04/30/2022,18-29,0.0,0.0,0.0,,,,,,,,101765,217441,146299,0,0,0,18,29
Hospitalizations,09/11/2021,50-64,56.1,4.3,,13.0,,,,,,,82003,328128,,46,14,,50,64
Cases,10/22/2022,0-4,58.4,6.1,,9.6,,,,,,,162642,,,95,10,,0,4
Hospitalizations,08/27/2022,30-49,10.9,5.0,4.3,2.2,2.5,,,,,,119534,278552,348673,13,14,15,30,49
Deaths,05/15/2021,30-49,0.9,0.0,,,,,,,,,333486,336801,,3,0,,30,49
Deaths,10/22/2022,80+,0.0,0.0,2.1,,0.0,,,,,,24670,11042,48391,0,0,1,80,200
Deaths,10/01/2022,50-64,0.0,0.0,0.0,,,,,,,,35613,125081,249615,0,0,0,50,64
Hospitalizations,08/06/2022,12-17,5.9,0.0,0.0,,,,,,,,34141,89996,40986,2,0,0,12,17
Hospitalizations,05/01/2021,80+,79.6,11.7,,6.8,,,,,,,36419,42658,,29,5,,80,200
Deaths,06/04/2022,30-49,0.0,0.0,0.0,,,,,,,,123155,284820,339518,0,0,0,30,49
Hospitalizations,06/11/2022,30-49,5.7,6.0,4.1,1.0,1.4,,,,,,122799,284167,340517,7,17,14,30,49
Cases,01/22/2022,30-49,716.6,422.8,450.1,1.7,1.6,,,,,,143735,334416,259934,1030,1414,1170,30,49
Hospitalizations,04/09/2022,All,3.9,2.5,3.3,1.6,1.2,5.2,3.4,2.4,1.5,2.2,644745,903644,942225,25,23,31,999,999
Hospitalizations,06/12/2021,80+,17.9,5.9,,3.0,,,,,,,33535,50533,,6,3,,80,200
Hospitalizations,05/14/2022,All,11.3,5.6,8.1,2.0,1.4,13.7,7.3,5.8,1.9,2.3,635855,891122,965612,72,50,78,999,999
Deaths,09/24/2022,50-64,0.0,0.0,0.0,,,,,,,,36063,125491,248947,0,0,0,50,64
